Bus,Gen_MW,Load_MW,Margin_MW,Status
1,62.4,39.3347368421053,23.0652631578947,送端(供电富余)
2,79.9299299794644,35.3284210526316,44.6015089268329,送端(供电富余)
3,0,65.5578947368421,-65.5578947368421,受端(纯负荷)
4,0,26.9515789473684,-26.9515789473684,受端(纯负荷)
5,0,25.8589473684211,-25.8589473684211,受端(纯负荷)
6,0,49.5326315789474,-49.5326315789474,受端(纯负荷)
7,75,45.5263157894737,29.4736842105263,送端(供电富余)
8,0,62.28,-62.28,受端(纯负荷)
9,0,63.7368421052632,-63.7368421052632,受端(纯负荷)
10,0,71.021052631579,-71.021052631579,受端(纯负荷)
11,0,0,0,本地平衡
12,0,0,0,本地平衡
13,207,96.5157894736842,110.484210526316,送端(供电富余)
14,0,70.6568421052632,-70.6568421052632,受端(纯负荷)
15,66.3,115.454736842105,-49.1547368421053,负荷紧张/依赖外供
16,54.3,36.4210526315789,17.8789473684211,送端(供电富余)
17,0,0,0,本地平衡
18,100,121.282105263158,-21.2821052631579,负荷紧张/依赖外供
19,0,65.9221052631579,-65.9221052631579,受端(纯负荷)
20,0,46.6189473684211,-46.6189473684211,受端(纯负荷)
21,100,0,100,送端(供电富余)
22,60,0,60,送端(供电富余)
23,248.6,0,248.6,送端(供电富余)
24,0,0,0,本地平衡
