BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,-170.782893612705,175,97.5902249215459
2,1,3,0.0807434072805257,175,0.0461390898745861
3,1,5,147.561097573846,175,84.3206271850548
4,2,4,135.269993576664,175,77.2971391866654
5,2,6,8.37325091323383,175,4.78471480756219
6,3,9,29.4943795061422,175,16.853931146367
7,3,24,35.8564560339457,400,8.96411400848642
8,4,9,-108.370344453857,175,61.92591111649
9,5,10,-121.751974766828,175,69.5725570096162
10,6,10,41.0639420692223,175,23.4651097538413
11,7,8,-29.5614035087719,175,16.8922305764411
12,8,9,51.3382026501144,175,29.3361158000654
13,8,10,40.3832008586575,175,23.0761147763757
14,9,11,1.52021384925174,400,0.380053462312934
15,9,12,89.6315835360685,400,22.4078958840171
16,10,11,0,400,0
17,10,12,111.189042365264,400,27.7972605913161
18,11,13,30.0407073183828,500,6.00814146367655
19,11,14,-31.5609211676345,500,6.3121842335269
20,12,13,-125.264837150607,500,25.0529674301214
21,12,23,-75.5557887507255,500,15.1111577501451
22,13,23,-15.4460456063721,500,3.08920912127441
23,14,16,102.08162292202,500,20.4163245844041
24,15,16,82.0693063949577,500,16.4138612789915
25,15,21,2.7194303407424,500,0.543886068148479
26,15,21,0,500,0
27,15,24,-35.8564560339457,500,7.17129120678914
28,16,17,-63.767851393374,500,12.7535702786748
29,16,19,-138.332200730622,500,27.6664401461243
30,17,18,63.767851393374,500,12.7535702786748
31,17,22,0,500,0
32,18,21,-21.3597151703712,500,4.27194303407424
33,18,21,-21.3597151703712,500,4.27194303407424
34,19,20,102.06364422496,500,20.412728844992
35,19,20,102.06364422496,500,20.412728844992
36,20,23,-157.598165642902,500,31.5196331285805
37,20,23,0,500,0
38,21,22,-60,500,12
