GenID,Bus,Cost_£_MWh,Type
1,1,44,燃气/常规火电
2,1,44,燃气/常规火电
3,1,44,燃气/常规火电
4,1,44,燃气/常规火电
5,2,44,燃气/常规火电
6,2,44,燃气/常规火电
7,2,44,燃气/常规火电
8,2,44,燃气/常规火电
9,7,114,燃气/常规火电
10,7,114,燃气/常规火电
11,7,114,燃气/常规火电
12,13,114,燃气/常规火电
13,13,114,燃气/常规火电
14,13,114,燃气/常规火电
15,14,114,燃气/常规火电
16,15,114,燃气/常规火电
17,15,114,燃气/常规火电
18,15,114,燃气/常规火电
19,15,114,燃气/常规火电
20,15,114,燃气/常规火电
21,15,114,燃气/常规火电
22,16,114,燃气/常规火电
23,18,114,燃气/常规火电
24,21,114,燃气/常规火电
25,22,114,燃气/常规火电
26,22,114,燃气/常规火电
27,22,114,燃气/常规火电
28,22,114,燃气/常规火电
29,22,114,燃气/常规火电
30,22,114,燃气/常规火电
31,23,114,燃气/常规火电
32,23,114,燃气/常规火电
33,23,114,燃气/常规火电
