BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,-40.7133679947545,175,23.2647817112883
2,1,3,-8.47584755146475,175,4.84334145797986
3,1,5,71,175,40.5714285714286
4,2,4,24.6812909430825,175,14.1035948246186
5,2,6,50.632077051672,175,28.9326154580983
6,3,9,79.5433015078418,175,45.4533151473382
7,3,24,108.932546043623,400,27.2331365109057
8,4,9,49.3187090569175,175,28.1821194610957
9,5,10,0,175,0
10,6,10,85.367922948328,175,48.7816702561874
11,7,8,50,175,28.5714285714286
12,8,9,0,175,0
13,8,10,121,175,69.1428571428571
14,9,11,46.1379894352407,400,11.5344973588102
15,9,12,0,400,0
16,10,11,-33.0592506196341,400,8.26481265490853
17,10,12,21.6913276713061,400,5.42283191782653
18,11,13,53.6153443199276,500,10.7230688639855
19,11,14,-66.6940831355343,500,13.3388166271068
20,12,13,-42.8883010290196,500,8.57766020580391
21,12,23,21.1969733577134,500,4.23939467154269
22,13,23,47.2729567090919,500,9.45459134181839
23,14,16,260.694083135534,500,52.1388166271068
24,15,16,340.854196487447,500,68.1708392974894
25,15,21,18.7783495561759,500,3.75566991123518
26,15,21,0,500,0
27,15,24,-108.932546043623,500,21.7865092087246
28,16,17,-291.778349556176,500,58.3556699112352
29,16,19,-264.069930066806,500,52.8139860133611
30,17,18,300.372105867414,500,60.0744211734827
31,17,22,-8.59375631123776,500,1.71875126224755
32,18,21,-67.3721058674137,500,13.4744211734827
33,18,21,0,500,0
34,19,20,222.534965033403,500,44.5069930066806
35,19,20,222.534965033403,500,44.5069930066806
36,20,23,-158.534965033403,500,31.7069930066806
37,20,23,-158.534965033402,500,31.7069930066804
38,21,22,-51.4062436887622,500,10.2812487377524
