Bus,Gen_MW,Load_MW,Margin_MW,Status
1,62.4,27,35.4,送端(供电富余)
2,93.4,24.25,69.15,送端(供电富余)
3,0,45,-45,受端(纯负荷)
4,0,18.5,-18.5,受端(纯负荷)
5,0,17.75,-17.75,受端(纯负荷)
6,0,34,-34,受端(纯负荷)
7,75,31.25,43.75,送端(供电富余)
8,0,42.75,-42.75,受端(纯负荷)
9,0,43.75,-43.75,受端(纯负荷)
10,0,48.75,-48.75,受端(纯负荷)
11,0,0,0,本地平衡
12,0,0,0,本地平衡
13,207,66.25,140.75,送端(供电富余)
14,0,48.5,-48.5,受端(纯负荷)
15,66.3,79.25,-12.95,负荷紧张/依赖外供
16,54.3,25,29.3,送端(供电富余)
17,0,0,0,本地平衡
18,100,83.25,16.75,送端(供电富余)
19,0,45.25,-45.25,受端(纯负荷)
20,0,32,-32,受端(纯负荷)
21,100,0,100,送端(供电富余)
22,60,0,60,送端(供电富余)
23,248.6,0,248.6,送端(供电富余)
24,0,0,0,本地平衡
