Bus,Gen_MW,Load_MW,Margin_MW,Status
1,192,108,84,送端(供电富余)
2,192,97,95,送端(供电富余)
3,0,180,-180,受端(纯负荷)
4,0,74,-74,受端(纯负荷)
5,0,71,-71,受端(纯负荷)
6,0,136,-136,受端(纯负荷)
7,300,125,175,送端(供电富余)
8,0,171,-171,受端(纯负荷)
9,0,175,-175,受端(纯负荷)
10,0,195,-195,受端(纯负荷)
11,0,0,0,本地平衡
12,0,0,0,本地平衡
13,591,265,326,送端(供电富余)
14,0,194,-194,受端(纯负荷)
15,148.853606733546,317,-168.146393266454,负荷紧张/依赖外供
16,155,100,54.9999999999999,送端(供电富余)
17,0,0,0,本地平衡
18,400,333,66.9999999999999,送端(供电富余)
19,0,181,-181,受端(纯负荷)
20,0,128,-128,受端(纯负荷)
21,322.546393266454,0,322.546393266454,送端(供电富余)
22,300,0,300,送端(供电富余)
23,248.6,0,248.6,送端(供电富余)
24,0,0,0,本地平衡
