GenID,Bus,Cost_£_MWh,Type
1,1,2,风电/光伏(可再生)
2,1,2,风电/光伏(可再生)
3,1,2,风电/光伏(可再生)
4,1,2,风电/光伏(可再生)
5,2,2,风电/光伏(可再生)
6,2,2,风电/光伏(可再生)
7,2,50,燃气/常规火电
8,2,50,燃气/常规火电
9,7,50,燃气/常规火电
10,7,50,燃气/常规火电
11,7,50,燃气/常规火电
12,13,50,燃气/常规火电
13,13,50,燃气/常规火电
14,13,50,燃气/常规火电
15,14,50,燃气/常规火电
16,15,50,燃气/常规火电
17,15,50,燃气/常规火电
18,15,50,燃气/常规火电
19,15,50,燃气/常规火电
20,15,50,燃气/常规火电
21,15,50,燃气/常规火电
22,16,50,燃气/常规火电
23,18,50,燃气/常规火电
24,21,50,燃气/常规火电
25,22,50,燃气/常规火电
26,22,50,燃气/常规火电
27,22,50,燃气/常规火电
28,22,50,燃气/常规火电
29,22,50,燃气/常规火电
30,22,50,燃气/常规火电
31,23,50,燃气/常规火电
32,23,50,燃气/常规火电
33,23,50,燃气/常规火电
