BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,-33.8420347612879,175,19.3383055778788
2,1,3,-34.5506625315846,175,19.743235732334
3,1,5,113.992697292872,175,65.1386841673557
4,2,4,69.0329618084358,175,39.4474067476776
5,2,6,-14.6119236998556,175,8.34967068563179
6,3,9,135.195409790612,175,77.2545198803495
7,3,24,79.3552527409729,400,19.8388131852432
8,4,9,4.96703819156423,175,2.8383075380367
9,5,10,-42.9926972928725,175,24.5672555959271
10,6,10,150.611923699856,175,86.0639563999175
11,7,8,50,175,28.5714285714286
12,8,9,69.4492007514386,175,39.6852575722506
13,8,10,51.5507992485614,175,29.4575995706065
14,9,11,-89.6516728423478,400,22.4129182105869
15,9,12,55.0400241087333,400,13.7600060271833
16,10,11,-54.4308613033128,400,13.6077153258282
17,10,12,90.2608356477683,400,22.5652089119421
18,11,13,150.61052433974,500,30.1221048679481
19,11,14,-6.52799019407978,500,1.30559803881596
20,12,13,-104.423790244203,500,20.8847580488406
21,12,23,-40.8770695122986,500,8.17541390245972
22,13,23,11.8132659044626,500,2.36265318089251
23,14,16,200.52799019408,500,40.105598038816
24,15,16,307.381729469529,500,61.4763458939057
25,15,21,22.6735232714444,500,4.53470465428888
26,15,21,0,500,0
27,15,24,-79.3552527409729,500,15.8710505481946
28,16,17,-295.673523271444,500,59.1347046542889
29,16,19,-166.536196392164,500,33.3072392784328
30,17,18,299.236533247133,500,59.8473066494266
31,17,22,-3.56300997568837,500,0.712601995137675
32,18,21,-33.1182666235664,500,6.62365332471328
33,18,21,-33.1182666235664,500,6.62365332471328
34,19,20,173.768098196082,500,34.7536196392164
35,19,20,173.768098196082,500,34.7536196392164
36,20,23,-109.768098196082,500,21.9536196392164
37,20,23,-109.768098196082,500,21.9536196392164
38,21,22,-56.4369900243116,500,11.2873980048623
