BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,-25.4,175,14.5142857142857
2,1,3,0,175,0
3,1,5,71,175,40.5714285714286
4,2,4,68.1620302760463,175,38.9497315863122
5,2,6,-38.9999999999999,175,22.2857142857142
6,3,9,43.3050756901159,175,24.7457575372091
7,3,24,136.694924309884,400,34.173731077471
8,4,9,5.83796972395371,175,3.33598269940212
9,5,10,0,175,0
10,6,10,175,175,100
11,7,8,45.1430454140696,175,25.7960259508969
12,8,9,125.85695458593,175,71.9182597633888
13,8,10,0,175,0
14,9,11,0,400,0
15,9,12,0,400,0
16,10,11,10,400,2.5
17,10,12,10,400,2.5
18,11,13,-10,500,2
19,11,14,0,500,0
20,12,13,-10,500,2
21,12,23,0,500,0
22,13,23,0,500,0
23,14,16,194,500,38.8
24,15,16,353.847462154942,500,70.7694924309884
25,15,21,33.5474621549421,500,6.70949243098842
26,15,21,0,500,0
27,15,24,-136.694924309884,500,27.3389848619768
28,16,17,-306.547462154942,500,61.3094924309884
29,16,19,-195.6,500,39.12
30,17,18,306.547462154942,500,61.3094924309884
31,17,22,0,500,0
32,18,21,-36.7737310774711,500,7.35474621549421
33,18,21,-36.7737310774711,500,7.35474621549421
34,19,20,188.3,500,37.66
35,19,20,188.3,500,37.66
36,20,23,-124.3,500,24.86
37,20,23,-124.3,500,24.86
38,21,22,-60,500,12
