Bus,Gen_MW,Load_MW,Margin_MW,Status
1,192,108,84,送端(供电富余)
2,192,97,95,送端(供电富余)
3,0,180,-180,受端(纯负荷)
4,0,74,-74,受端(纯负荷)
5,0,71,-71,受端(纯负荷)
6,0,136,-136,受端(纯负荷)
7,129,125,4,本地平衡
8,0,171,-171,受端(纯负荷)
9,0,175,-175,受端(纯负荷)
10,0,195,-195,受端(纯负荷)
11,0,0,0,本地平衡
12,0,0,0,本地平衡
13,216.026221087168,265,-48.9737789128316,负荷紧张/依赖外供
14,0,194,-194,受端(纯负荷)
15,215,317,-102,负荷紧张/依赖外供
16,145.973778912832,100,45.9737789128316,送端(供电富余)
17,0,0,0,本地平衡
18,400,333,67,送端(供电富余)
19,0,181,-181,受端(纯负荷)
20,0,128,-128,受端(纯负荷)
21,400,0,400,送端(供电富余)
22,300,0,300,送端(供电富余)
23,660,0,660,送端(供电富余)
24,0,0,0,本地平衡
