BranchID,FromBus,ToBus,PowerFlow_MW,RateA_MVA,Loading_%
1,1,2,10.6901827021627,175,6.10867582980725
2,1,3,-48.364338373128,175,27.6367647846445
3,1,5,83.2741556709653,175,47.5852318119802
4,2,4,-101,175,57.7142857142857
5,2,6,0,175,0
6,3,9,132.049931125753,175,75.4571035004304
7,3,24,96.3144072473748,400,24.0786018118437
8,4,9,175,175,100
9,5,10,-12.2741556709653,175,7.01380324055158
10,6,10,136,175,77.7142857142858
11,7,8,-106.903321441736,175,61.0876122524203
12,8,9,137.578357665476,175,78.6162043802721
13,8,10,140.324963776259,175,80.185693586434
14,9,11,-63.6459848765658,400,15.9114962191414
15,9,12,-205.982303914664,400,51.4955759786659
16,10,11,-69.0508081052943,400,17.2627020263236
17,10,12,0,400,0
18,11,13,-14.0610410942216,500,2.81220821884432
19,11,14,146.757834076082,500,29.3515668152163
20,12,13,236.821672504443,500,47.3643345008885
21,12,23,-30.839368589779,500,6.16787371795579
22,13,23,-164.760631410221,500,32.9521262820442
23,14,16,47.2421659239183,500,9.44843318478367
24,15,16,304.436120661729,500,60.8872241323457
25,15,21,16.4891432928237,500,3.29782865856473
26,15,21,16.4891432928233,500,3.29782865856466
27,15,24,-96.3144072473748,500,19.262881449475
28,16,17,-305.978286585647,500,61.1956573171294
29,16,19,0,500,0
30,17,18,309.455694116159,500,61.8911388232317
31,17,22,-3.47740753051177,500,0.695481506102354
32,18,21,-38.2278470580793,500,7.64556941161587
33,18,21,-38.2278470580793,500,7.64556941161587
34,19,20,90.4999999999997,500,18.0999999999999
35,19,20,90.5000000000004,500,18.1000000000001
36,20,23,-26.5000000000005,500,5.30000000000009
37,20,23,-26.4999999999996,500,5.29999999999993
38,21,22,-56.5225924694882,500,11.3045184938976
