Bus,Gen_MW,Load_MW,Margin_MW,Status
1,122.256609459097,30.3157894736842,91.9408199854128,送端(供电富余)
2,62.4,27.2280701754386,35.1719298245614,送端(供电富余)
3,0,50.5263157894737,-50.5263157894737,受端(纯负荷)
4,0,20.7719298245614,-20.7719298245614,受端(纯负荷)
5,0,19.9298245614035,-19.9298245614035,受端(纯负荷)
6,0,38.1754385964912,-38.1754385964912,受端(纯负荷)
7,75,35.0877192982456,39.9122807017544,送端(供电富余)
8,0,48,-48,受端(纯负荷)
9,0,49.1228070175439,-49.1228070175439,受端(纯负荷)
10,0,54.7368421052632,-54.7368421052632,受端(纯负荷)
11,0,0,0,本地平衡
12,0,0,0,本地平衡
13,313.017542435305,74.3859649122807,238.631577523025,送端(供电富余)
14,0,54.4561403508772,-54.4561403508772,受端(纯负荷)
15,66.3,88.9824561403509,-22.6824561403509,负荷紧张/依赖外供
16,54.3,28.0701754385965,26.2298245614035,送端(供电富余)
17,0,0,0,本地平衡
18,100,93.4736842105263,6.52631578947368,本地平衡
19,0,50.8070175438596,-50.8070175438596,受端(纯负荷)
20,0,35.9298245614035,-35.9298245614035,受端(纯负荷)
21,100,0,100,送端(供电富余)
22,60,0,60,送端(供电富余)
23,248.6,0,248.6,送端(供电富余)
24,0,0,0,本地平衡
