Bus,Gen_MW,Load_MW,Margin_MW,Status
1,80.1842105263158,39.2589473684211,40.9252631578947,送端(供电富余)
2,80.1842105263158,35.260350877193,44.9238596491228,送端(供电富余)
3,0,65.4315789473684,-65.4315789473684,受端(纯负荷)
4,0,26.899649122807,-26.899649122807,受端(纯负荷)
5,0,25.8091228070175,-25.8091228070175,受端(纯负荷)
6,0,49.4371929824561,-49.4371929824561,受端(纯负荷)
7,75,45.4385964912281,29.5614035087719,送端(供电富余)
8,0,62.16,-62.16,受端(纯负荷)
9,0,63.6140350877193,-63.6140350877193,受端(纯负荷)
10,0,70.8842105263158,-70.8842105263158,受端(纯负荷)
11,0,0,0,本地平衡
12,0,0,0,本地平衡
13,207,96.3298245614035,110.670175438596,送端(供电富余)
14,0,70.520701754386,-70.520701754386,受端(纯负荷)
15,66.3,115.232280701754,-48.9322807017544,负荷紧张/依赖外供
16,54.3,36.3508771929825,17.9491228070175,送端(供电富余)
17,0,0,0,本地平衡
18,100,121.048421052632,-21.0484210526316,负荷紧张/依赖外供
19,0,65.7950877192983,-65.7950877192983,受端(纯负荷)
20,0,46.5291228070175,-46.5291228070175,受端(纯负荷)
21,100,0,100,送端(供电富余)
22,60,0,60,送端(供电富余)
23,248.6,0,248.6,送端(供电富余)
24,0,0,0,本地平衡
